current_table,current_column,target_table,target_column,decision,canonical_source,backfill_source,compatibility_required,migration_order,risk,notes
admin_role_permissions,role_id,admin_role_permissions,role_id,KEEP,admin_role_permissions.role_id,admin_role_permissions.role_id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_role_permissions,permission_id,admin_role_permissions,permission_id,KEEP,admin_role_permissions.permission_id,admin_role_permissions.permission_id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_role_permissions,created_at,admin_role_permissions,created_at,KEEP,admin_role_permissions.created_at,admin_role_permissions.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_roles,id,admin_roles,id,KEEP,admin_roles.id,admin_roles.id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_roles,key,admin_roles,key,KEEP,admin_roles.key,admin_roles.key,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_roles,name,admin_roles,name,KEEP,admin_roles.name,admin_roles.name,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_roles,description,admin_roles,description,KEEP,admin_roles.description,admin_roles.description,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_roles,sort_order,admin_roles,sort_order,KEEP,admin_roles.sort_order,admin_roles.sort_order,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_roles,is_active,admin_roles,is_active,KEEP,admin_roles.is_active,admin_roles.is_active,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_roles,created_at,admin_roles,created_at,KEEP,admin_roles.created_at,admin_roles.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_roles,updated_at,admin_roles,updated_at,KEEP,admin_roles.updated_at,admin_roles.updated_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_user_roles,user_id,admin_user_roles,user_id,KEEP,admin_user_roles.user_id,admin_user_roles.user_id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_user_roles,role_id,admin_user_roles,role_id,KEEP,admin_user_roles.role_id,admin_user_roles.role_id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_user_roles,is_primary,admin_user_roles,is_primary,KEEP,admin_user_roles.is_primary,admin_user_roles.is_primary,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
admin_user_roles,created_at,admin_user_roles,created_at,KEEP,admin_user_roles.created_at,admin_user_roles.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
board_members,id,board_members,id,KEEP,board_members.id,board_members.id,no,CURRENT,LOW,Board member master record remains here.
board_members,first_name,board_members,first_name,KEEP,board_members.first_name,board_members.first_name,no,CURRENT,LOW,Board member master record remains here.
board_members,last_name,board_members,last_name,KEEP,board_members.last_name,board_members.last_name,no,CURRENT,LOW,Board member master record remains here.
board_members,role_de,board_members,role_id,REMOVE_AFTER_MIGRATION,board_roles.id,board_members.role_de,yes,P4,MEDIUM,Role label is derived from board_roles and should not remain duplicated.
board_members,role_en,board_members,role_id,REMOVE_AFTER_MIGRATION,board_roles.id,board_members.role_en,yes,P4,MEDIUM,Role label is derived from board_roles and should not remain duplicated.
board_members,email,board_members,email,KEEP,board_members.email,board_members.email,no,CURRENT,LOW,Board member master record remains here.
board_members,phone,board_members,phone,KEEP,board_members.phone,board_members.phone,no,CURRENT,LOW,Board member master record remains here.
board_members,image_url,board_members,image_url,KEEP,board_members.image_url,board_members.image_url,no,CURRENT,LOW,Board member master record remains here.
board_members,is_active,board_members,is_active,KEEP,board_members.is_active,board_members.is_active,no,CURRENT,LOW,Board member master record remains here.
board_members,sort_order,board_members,sort_order,KEEP,board_members.sort_order,board_members.sort_order,no,CURRENT,LOW,Board member master record remains here.
board_members,created_at,board_members,created_at,KEEP,board_members.created_at,board_members.created_at,no,CURRENT,LOW,Board member master record remains here.
board_members,role_id,board_members,role_id,KEEP,board_members.role_id,board_members.role_id,no,CURRENT,LOW,Board member master record remains here.
board_members,admin_profile_id,board_members,admin_profile_id,KEEP,board_members.admin_profile_id,board_members.admin_profile_id,no,CURRENT,LOW,Board member master record remains here.
board_roles,id,board_roles,id,KEEP,board_roles.id,board_roles.id,no,CURRENT,LOW,Board role lookup remains canonical.
board_roles,name_de,board_roles,name_de,KEEP,board_roles.name_de,board_roles.name_de,no,CURRENT,LOW,Board role lookup remains canonical.
board_roles,name_en,board_roles,name_en,KEEP,board_roles.name_en,board_roles.name_en,no,CURRENT,LOW,Board role lookup remains canonical.
board_roles,slug,board_roles,slug,KEEP,board_roles.slug,board_roles.slug,no,CURRENT,LOW,Board role lookup remains canonical.
board_roles,is_active,board_roles,is_active,KEEP,board_roles.is_active,board_roles.is_active,no,CURRENT,LOW,Board role lookup remains canonical.
board_roles,sort_order,board_roles,sort_order,KEEP,board_roles.sort_order,board_roles.sort_order,no,CURRENT,LOW,Board role lookup remains canonical.
board_roles,created_at,board_roles,created_at,KEEP,board_roles.created_at,board_roles.created_at,no,CURRENT,LOW,Board role lookup remains canonical.
club_closure_periods,id,club_closure_periods,id,KEEP,club_closure_periods.id,club_closure_periods.id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_closure_periods,title,club_closure_periods,title,KEEP,club_closure_periods.title,club_closure_periods.title,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_closure_periods,reason,club_closure_periods,reason,KEEP,club_closure_periods.reason,club_closure_periods.reason,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_closure_periods,starts_on,club_closure_periods,starts_on,KEEP,club_closure_periods.starts_on,club_closure_periods.starts_on,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_closure_periods,ends_on,club_closure_periods,ends_on,KEEP,club_closure_periods.ends_on,club_closure_periods.ends_on,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_closure_periods,applies_to_all,club_closure_periods,applies_to_all,KEEP,club_closure_periods.applies_to_all,club_closure_periods.applies_to_all,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_closure_periods,team_season_id,club_closure_periods,team_season_id,KEEP,club_closure_periods.team_season_id,club_closure_periods.team_season_id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_closure_periods,is_active,club_closure_periods,is_active,KEEP,club_closure_periods.is_active,club_closure_periods.is_active,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_closure_periods,created_at,club_closure_periods,created_at,KEEP,club_closure_periods.created_at,club_closure_periods.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_closure_periods,updated_at,club_closure_periods,updated_at,KEEP,club_closure_periods.updated_at,club_closure_periods.updated_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,id,club_contacts,id,KEEP,club_contacts.id,club_contacts.id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,category,club_contacts,category,KEEP,club_contacts.category,club_contacts.category,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,role_key,club_contacts,role_key,KEEP,club_contacts.role_key,club_contacts.role_key,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,role_de,club_contacts,role_de,KEEP,club_contacts.role_de,club_contacts.role_de,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,role_en,club_contacts,role_en,KEEP,club_contacts.role_en,club_contacts.role_en,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,contact_name,club_contacts,contact_name,KEEP,club_contacts.contact_name,club_contacts.contact_name,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,email,club_contacts,email,KEEP,club_contacts.email,club_contacts.email,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,phone,club_contacts,phone,KEEP,club_contacts.phone,club_contacts.phone,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,image_url,club_contacts,image_url,KEEP,club_contacts.image_url,club_contacts.image_url,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,is_public,club_contacts,is_public,KEEP,club_contacts.is_public,club_contacts.is_public,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,is_active,club_contacts,is_active,KEEP,club_contacts.is_active,club_contacts.is_active,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,sort_order,club_contacts,sort_order,KEEP,club_contacts.sort_order,club_contacts.sort_order,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,created_at,club_contacts,created_at,KEEP,club_contacts.created_at,club_contacts.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_contacts,updated_at,club_contacts,updated_at,KEEP,club_contacts.updated_at,club_contacts.updated_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,id,club_history_images,id,KEEP,club_history_images.id,club_history_images.id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,club_history_page_id,club_history_images,club_history_page_id,KEEP,club_history_images.club_history_page_id,club_history_images.club_history_page_id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,image_url,club_history_images,image_url,KEEP,club_history_images.image_url,club_history_images.image_url,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,image_path,club_history_images,image_path,KEEP,club_history_images.image_path,club_history_images.image_path,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,alt_text_de,club_history_images,alt_text_de,KEEP,club_history_images.alt_text_de,club_history_images.alt_text_de,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,caption_de,club_history_images,caption_de,KEEP,club_history_images.caption_de,club_history_images.caption_de,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,sort_order,club_history_images,sort_order,KEEP,club_history_images.sort_order,club_history_images.sort_order,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,is_active,club_history_images,is_active,KEEP,club_history_images.is_active,club_history_images.is_active,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,created_at,club_history_images,created_at,KEEP,club_history_images.created_at,club_history_images.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,updated_at,club_history_images,updated_at,KEEP,club_history_images.updated_at,club_history_images.updated_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,alt_text_en,club_history_images,alt_text_en,KEEP,club_history_images.alt_text_en,club_history_images.alt_text_en,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_images,caption_en,club_history_images,caption_en,KEEP,club_history_images.caption_en,club_history_images.caption_en,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,id,club_history_milestones,id,KEEP,club_history_milestones.id,club_history_milestones.id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,club_history_page_id,club_history_milestones,club_history_page_id,KEEP,club_history_milestones.club_history_page_id,club_history_milestones.club_history_page_id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,milestone_year,club_history_milestones,milestone_year,KEEP,club_history_milestones.milestone_year,club_history_milestones.milestone_year,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,title_de,club_history_milestones,title_de,KEEP,club_history_milestones.title_de,club_history_milestones.title_de,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,description_de,club_history_milestones,description_de,KEEP,club_history_milestones.description_de,club_history_milestones.description_de,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,sort_order,club_history_milestones,sort_order,KEEP,club_history_milestones.sort_order,club_history_milestones.sort_order,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,is_active,club_history_milestones,is_active,KEEP,club_history_milestones.is_active,club_history_milestones.is_active,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,created_at,club_history_milestones,created_at,KEEP,club_history_milestones.created_at,club_history_milestones.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,updated_at,club_history_milestones,updated_at,KEEP,club_history_milestones.updated_at,club_history_milestones.updated_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,title_en,club_history_milestones,title_en,KEEP,club_history_milestones.title_en,club_history_milestones.title_en,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,description_en,club_history_milestones,description_en,KEEP,club_history_milestones.description_en,club_history_milestones.description_en,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,milestone_year_to,club_history_milestones,milestone_year_to,KEEP,club_history_milestones.milestone_year_to,club_history_milestones.milestone_year_to,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_milestones,milestone_year_until,club_history_milestones,milestone_year_until,KEEP,club_history_milestones.milestone_year_until,club_history_milestones.milestone_year_until,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,id,club_history_pages,id,KEEP,club_history_pages.id,club_history_pages.id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,page_key,club_history_pages,page_key,KEEP,club_history_pages.page_key,club_history_pages.page_key,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,title_de,club_history_pages,title_de,KEEP,club_history_pages.title_de,club_history_pages.title_de,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,teaser_de,club_history_pages,teaser_de,KEEP,club_history_pages.teaser_de,club_history_pages.teaser_de,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,content_de,club_history_pages,content_de,KEEP,club_history_pages.content_de,club_history_pages.content_de,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,is_published,club_history_pages,is_published,KEEP,club_history_pages.is_published,club_history_pages.is_published,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,published_at,club_history_pages,published_at,KEEP,club_history_pages.published_at,club_history_pages.published_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,sort_order,club_history_pages,sort_order,KEEP,club_history_pages.sort_order,club_history_pages.sort_order,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,is_active,club_history_pages,is_active,KEEP,club_history_pages.is_active,club_history_pages.is_active,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,created_at,club_history_pages,created_at,KEEP,club_history_pages.created_at,club_history_pages.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,updated_at,club_history_pages,updated_at,KEEP,club_history_pages.updated_at,club_history_pages.updated_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,title_en,club_history_pages,title_en,KEEP,club_history_pages.title_en,club_history_pages.title_en,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,teaser_en,club_history_pages,teaser_en,KEEP,club_history_pages.teaser_en,club_history_pages.teaser_en,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_history_pages,content_en,club_history_pages,content_en,KEEP,club_history_pages.content_en,club_history_pages.content_en,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,id,club_settings,id,KEEP,club_settings.id,club_settings.id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,singleton,club_settings,singleton,KEEP,club_settings.singleton,club_settings.singleton,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,club_name,club_settings,club_name,KEEP,club_settings.club_name,club_settings.club_name,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,short_name,club_settings,short_name,KEEP,club_settings.short_name,club_settings.short_name,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,street,club_settings,street,KEEP,club_settings.street,club_settings.street,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,house_number,club_settings,house_number,KEEP,club_settings.house_number,club_settings.house_number,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,postal_code,club_settings,postal_code,KEEP,club_settings.postal_code,club_settings.postal_code,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,city,club_settings,city,KEEP,club_settings.city,club_settings.city,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,phone,club_settings,phone,KEEP,club_settings.phone,club_settings.phone,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,email,club_settings,email,KEEP,club_settings.email,club_settings.email,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,website_url,club_settings,website_url,KEEP,club_settings.website_url,club_settings.website_url,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,club_colors,club_settings,club_colors,KEEP,club_settings.club_colors,club_settings.club_colors,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,registry_info,club_settings,registry_info,KEEP,club_settings.registry_info,club_settings.registry_info,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,copyright_text,club_settings,copyright_text,KEEP,club_settings.copyright_text,club_settings.copyright_text,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,google_maps_url,club_settings,google_maps_url,KEEP,club_settings.google_maps_url,club_settings.google_maps_url,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,social_links,club_settings,social_links,KEEP,club_settings.social_links,club_settings.social_links,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,created_at,club_settings,created_at,KEEP,club_settings.created_at,club_settings.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
club_settings,updated_at,club_settings,updated_at,KEEP,club_settings.updated_at,club_settings.updated_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
coach_team_seasons,id,coach_team_seasons,id,KEEP,coach_team_seasons.id,coach_team_seasons.id,no,CURRENT,LOW,Seasonal relation table is the canonical assignment store.
coach_team_seasons,coach_id,coach_team_seasons,coach_id,KEEP,coach_team_seasons.coach_id,coach_team_seasons.coach_id,no,CURRENT,LOW,Seasonal relation table is the canonical assignment store.
coach_team_seasons,team_season_id,coach_team_seasons,team_season_id,KEEP,coach_team_seasons.team_season_id,coach_team_seasons.team_season_id,no,CURRENT,LOW,Seasonal relation table is the canonical assignment store.
coach_team_seasons,role_de,coach_team_seasons,role_de,KEEP,coach_team_seasons.role_de,coach_team_seasons.role_de,no,CURRENT,LOW,Seasonal relation table is the canonical assignment store.
coach_team_seasons,role_en,coach_team_seasons,role_en,KEEP,coach_team_seasons.role_en,coach_team_seasons.role_en,no,CURRENT,LOW,Seasonal relation table is the canonical assignment store.
coach_team_seasons,is_active,coach_team_seasons,is_active,KEEP,coach_team_seasons.is_active,coach_team_seasons.is_active,no,CURRENT,LOW,Seasonal relation table is the canonical assignment store.
coach_team_seasons,sort_order,coach_team_seasons,sort_order,KEEP,coach_team_seasons.sort_order,coach_team_seasons.sort_order,no,CURRENT,LOW,Seasonal relation table is the canonical assignment store.
coach_team_seasons,created_at,coach_team_seasons,created_at,KEEP,coach_team_seasons.created_at,coach_team_seasons.created_at,no,CURRENT,LOW,Seasonal relation table is the canonical assignment store.
coaches,id,coaches,id,KEEP,coaches.id,coaches.id,no,CURRENT,LOW,Coach/staff person master data remains here.
coaches,team_id,coach_team_seasons,team_season_id,MOVE,coach_team_seasons.team_season_id,coaches.team_id,yes,P2,HIGH,Canonical coach assignment belongs in the seasonal relation table.
coaches,name,coaches,name,LEGACY_TEMPORARY,coaches.first_name + coaches.last_name,coaches.name,yes,P3,MEDIUM,Derived display label kept during migration to avoid UI churn.
coaches,role_de,coach_team_seasons,role_de,MOVE,coach_team_seasons.role_de,coaches.role_de,yes,P2,HIGH,German role label belongs to the seasonal assignment.
coaches,role_en,coach_team_seasons,role_en,MOVE,coach_team_seasons.role_en,coaches.role_en,yes,P2,HIGH,English role label belongs to the seasonal assignment.
coaches,email,coaches,email,KEEP,coaches.email,coaches.email,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
coaches,phone,coaches,phone,KEEP,coaches.phone,coaches.phone,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
coaches,image_url,coaches,image_url,KEEP,coaches.image_url,coaches.image_url,no,CURRENT,LOW,Coach/staff person master data remains here.
coaches,is_active,coaches,is_active,KEEP,coaches.is_active,coaches.is_active,no,CURRENT,LOW,Coach/staff person master data remains here.
coaches,sort_order,coach_team_seasons,sort_order,MOVE,coach_team_seasons.sort_order,coaches.sort_order,yes,P2,MEDIUM,Public ordering follows the seasonal assignment view.
coaches,created_at,coaches,created_at,KEEP,coaches.created_at,coaches.created_at,no,CURRENT,LOW,Coach/staff person master data remains here.
coaches,team_slug,coaches,team_slug,LEGACY_TEMPORARY,team_seasons.slug,coaches.team_slug,yes,P3,MEDIUM,Legacy display snapshot; source of truth is the seasonal relation.
coaches,photo_url,coaches,image_url,MERGE,coaches.image_url,coaches.photo_url,yes,P3,MEDIUM,Compatibility alias to the canonical image field.
coaches,license,coaches,license,KEEP,coaches.license,coaches.license,no,CURRENT,LOW,Coach/staff person master data remains here.
coaches,slug,coaches,slug,KEEP,coaches.slug,coaches.slug,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
coaches,role,coach_team_seasons,role_de,MOVE,coach_team_seasons.role_de,coaches.role,yes,P2,HIGH,Role is seasonal assignment data rather than person master data.
coaches,team_name,coaches,team_name,LEGACY_TEMPORARY,team_seasons.name_de,coaches.team_name,yes,P3,MEDIUM,Legacy display snapshot; source of truth is the seasonal relation.
coaches,whatsapp,coaches,whatsapp,KEEP,coaches.whatsapp,coaches.whatsapp,no,CURRENT,LOW,Coach/staff person master data remains here.
coaches,nationality,coaches,nationality,KEEP,coaches.nationality,coaches.nationality,no,CURRENT,LOW,Coach/staff person master data remains here.
coaches,first_name,coaches,first_name,KEEP,coaches.first_name,coaches.first_name,no,CURRENT,LOW,Coach/staff person master data remains here.
coaches,last_name,coaches,last_name,KEEP,coaches.last_name,coaches.last_name,no,CURRENT,LOW,Coach/staff person master data remains here.
coaches,admin_profile_id,coaches,admin_profile_id,KEEP,coaches.admin_profile_id,coaches.admin_profile_id,no,CURRENT,LOW,Coach/staff person master data remains here.
departments,id,departments,id,KEEP,departments.id,departments.id,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
departments,name_de,departments,name_de,KEEP,departments.name_de,departments.name_de,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
departments,name_en,departments,name_en,KEEP,departments.name_en,departments.name_en,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
departments,slug,departments,slug,KEEP,departments.slug,departments.slug,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
departments,is_active,departments,is_active,KEEP,departments.is_active,departments.is_active,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
departments,sort_order,departments,sort_order,KEEP,departments.sort_order,departments.sort_order,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
departments,created_at,departments,created_at,KEEP,departments.created_at,departments.created_at,no,CURRENT,LOW,Canonical data remains unchanged in the target model.
event_documents,id,event_documents,id,KEEP,event_documents.id,event_documents.id,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,event_id,event_documents,event_id,KEEP,event_documents.event_id,event_documents.event_id,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,display_name_de,event_documents,display_name_de,KEEP,event_documents.display_name_de,event_documents.display_name_de,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,display_name_en,event_documents,display_name_en,KEEP,event_documents.display_name_en,event_documents.display_name_en,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,description_de,event_documents,description_de,KEEP,event_documents.description_de,event_documents.description_de,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,description_en,event_documents,description_en,KEEP,event_documents.description_en,event_documents.description_en,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,file_name,event_documents,file_name,KEEP,event_documents.file_name,event_documents.file_name,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,file_path,event_documents,file_path,KEEP,event_documents.file_path,event_documents.file_path,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,file_url,event_documents,file_url,KEEP,event_documents.file_url,event_documents.file_url,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,mime_type,event_documents,mime_type,KEEP,event_documents.mime_type,event_documents.mime_type,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,file_size,event_documents,file_size,KEEP,event_documents.file_size,event_documents.file_size,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,sort_order,event_documents,sort_order,KEEP,event_documents.sort_order,event_documents.sort_order,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,is_public,event_documents,is_public,KEEP,event_documents.is_public,event_documents.is_public,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,created_at,event_documents,created_at,KEEP,event_documents.created_at,event_documents.created_at,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
event_documents,updated_at,event_documents,updated_at,KEEP,event_documents.updated_at,event_documents.updated_at,no,CURRENT,LOW,Event attachment table stays intact for public downloads.
events,id,events,id,KEEP,events.id,events.id,no,CURRENT,LOW,Event and recurrence data remain canonical.
events,title_de,events,title_de,KEEP,events.title_de,events.title_de,no,CURRENT,LOW,Event and recurrence data remain canonical.
events,title_en,events,title_en,KEEP,events.title_en,events.title_en,no,CURRENT,LOW,Event and recurrence data remain canonical.
events,teaser_de,events,teaser_de,KEEP,events.teaser_de,events.teaser_de,no,CURRENT,LOW,Event and recurrence data remain canonical.
events,teaser_en,events,teaser_en,KEEP,events.teaser_en,events.teaser_en,no,CURRENT,LOW,Event and recurrence data remain canonical.
events,description_de,events,description_de,KEEP,events.description_de,events.description_de,no,CURRENT,LOW,Event and recurrence data remain canonical.
events,description_en,events,description_en,KEEP,events.description_en,events.description_en,no,CURRENT,LOW,Event and recurrence data remain canonical.
