file,line,entity,legacy_field,runtime_path,read_type,replacement,status,risk,remove_ready
"src/components/admin/settings/helpers/settingsInitialState.js","112","coaches","coaches.role*","admin/settings-forwarding","label_fallback","coach DTO roleLabels or coach_staff_roles labels","FALLBACK_ONLY","MEDIUM","NO"
"src/components/admin/persons/coachReadDto.js","94","coaches","coaches.photo_url","admin/shared-coach-dto","dto_image_fallback","coaches.image_url","FALLBACK_ONLY","LOW","NO"
"src/components/admin/persons/coachRoleSummary.mjs","21","coaches","coaches.role*","admin/shared-coach-dto","role_summary_fallback","coach_team_seasons role labels plus coach_staff_roles","BLOCKED","HIGH","NO"
"src/components/admin/persons/coachSeasonalReadModelRepository.js","18","coaches","coaches.team_id","admin/shared-coach-read-model","repository_fallback_query","coach_team_seasons only","BLOCKED","HIGH","NO"
"src/components/admin/persons/coachSeasonalReadModelRepository.js","18","coaches","coaches.team_name","admin/shared-coach-read-model","repository_fallback_query","team_seasons/teams display labels","BLOCKED","HIGH","NO"
"src/components/admin/coaches/forms/coachForm.core.mjs","31","coaches","coaches.role*","admin/coach-form","form_role_fallback","coach_staff_roles or explicit empty state","BLOCKED","HIGH","NO"
"src/components/admin/coaches/forms/coachForm.core.mjs","92","coaches","coaches.photo_url","admin/coach-form","form_image_fallback","coaches.image_url","FALLBACK_ONLY","MEDIUM","NO"
"src/components/admin/coaches/services/coaches.service.js","14","coaches","coaches.photo_url","admin/coach-image-upload","previous_file_pointer","coaches.image_url","TEMPORARY","LOW","NO"
"src/components/admin/coaches/services/coachSeasonalWriteCore.mjs","56","coaches","coaches.role*","admin/coach-write-core","write_path_fallback_read","coach_staff_roles or explicit no-role path","BLOCKED","HIGH","NO"
"src/components/admin/coaches/services/coachSeasonalWriteCore.mjs","103","coaches","coaches.team_id+team_name","admin/coach-write-core","rollback_snapshot_read","coach_team_seasons rollback state only","BLOCKED","HIGH","NO"
"src/components/admin/coaches/services/coachSeasonalWriteCore.mjs","105","coaches","coaches.photo_url","admin/coach-write-core","write_path_image_fallback","coaches.image_url","TEMPORARY","LOW","NO"
"src/components/admin/coaches/services/coachWrite.repository.js","35","coaches","coaches.role*+team_id+team_name+photo_url","admin/coach-write-repository","master_record_load","seasonal assignments plus image_url and non-legacy rollback plan","BLOCKED","HIGH","NO"
"src/components/admin/teams/teamEditCoach.repository.js","43","coaches","coaches.role*","admin/team-edit","query_select","coach_team_seasons role rows plus coach_staff_roles if needed","DUAL_READ","MEDIUM","NO"
"src/components/admin/teams/teamEditCoach.repository.js","43","coaches","coaches.photo_url","admin/team-edit","query_select","coaches.image_url","DUAL_READ","LOW","NO"
"src/components/admin/teams/services/teamCoachAssignments.service.js","19","coaches","coaches.role*","admin/team-edit-sync","query_select","coach_team_seasons current role or coach_staff_roles-aware empty state","BLOCKED","HIGH","NO"
"src/components/admin/teams/teamCoachAssignments.core.mjs","39","coaches","coaches.role*","admin/team-edit-state","indirect_fallback_helper","coach_team_seasons role labels plus coach_staff_roles","BLOCKED","HIGH","NO"
"src/components/admin/persons/personTeamLegacyRepository.js","124","players","players.team_id","admin/shared-scope-repository","legacy_team_fallback","player_team_seasons only","BLOCKED","HIGH","NO"
"src/components/admin/persons/personTeamLegacyRepository.js","124","coaches","coaches.team_id","admin/shared-scope-repository","legacy_team_fallback","coach_team_seasons only","BLOCKED","HIGH","NO"
"src/app/admin/teams/new/page.js","73","players","players.team_id","admin/team-create","scope_filter_query","player_team_seasons availability rules","BLOCKED","HIGH","NO"
"src/app/admin/teams/new/page.js","75","coaches","coaches.team_id","admin/team-create","scope_filter_query","coach_team_seasons availability rules","BLOCKED","HIGH","NO"
"src/app/admin/teams/edit/[id]/page.js","59","players","players.team_id","admin/team-edit","scope_filter_query","player_team_seasons availability rules","BLOCKED","HIGH","NO"
"src/lib/admin-auth/profileCardLinks.repository.js","118","coaches","coaches.role*","admin/profile-linking","query_select","seasonal coach card rows plus coach_staff_roles labels","DUAL_READ","MEDIUM","NO"
"src/components/admin/utils/entity.js","15","generic","players.team_id/coaches.team_id","admin/generic-entity-card","generic_team_fallback","primaryAssignment or teams relation only","FALLBACK_ONLY","MEDIUM","NO"
"src/components/admin/utils/entity.js","29","generic","players.photo_url/coaches.photo_url","admin/generic-entity-card","generic_image_fallback","imageUrl/image_url only","FALLBACK_ONLY","MEDIUM","NO"
"src/components/admin/teams/services/teamDelete.core.mjs","114","players","players.team_id","admin/team-delete-guard","dependency_count_query","player_team_seasons by team_season_id","BLOCKED","HIGH","NO"
"src/app/(website)/fussball/[slug]/page.js","221","players","players.team_id","public/team-page","fallback_query","player_team_seasons only","BLOCKED","HIGH","NO"
"src/app/admin/teams/page.js","19","teams","teams.season","admin/teams-list","display_fallback_merge","team_seasons + seasons.name","READY","LOW","YES"
"src/app/(website)/fussball/[slug]/page.js","40","teams","teams.season","public/team-page","display_fallback_merge","team_seasons + seasons.name","READY","LOW","YES"
"src/lib/football/teams.js","4","teams","teams.training_times_de","public/football-index","query_select","team_seasons.training_times_de","BLOCKED","HIGH","NO"
"src/components/website/team/TeamTrainingInfo.js","20","teams","teams.training_times_de","public/team-page","component_display","team_seasons.training_times_de","ACTIVE","MEDIUM","NO"
"src/components/website/team/TeamTrainingInfo.js","30","teams","teams.season","public/team-page","component_display","selected season name","READY","LOW","YES"
"src/components/website/football/FootballTeamCard.js","28","teams","teams.training_times_de","public/football-index","component_display","team_seasons.training_times_de","ACTIVE","MEDIUM","NO"
"src/components/website/team/TeamIntroCard.js","14","teams","teams.description_de","public/team-page","component_display","team_seasons.description_de","ACTIVE","MEDIUM","NO"
"src/components/website/team/TeamIntroCard.js","23","teams","teams.season","public/team-page","component_display","selected season name","READY","LOW","YES"
"src/components/website/team/TeamHero.js","16","teams","teams.season","public/team-page","component_display","selected season name","READY","LOW","YES"
"src/components/admin/teams/components/TeamCard.js","22","teams","teams.training_times_de","admin/teams-list","component_display","team_seasons.training_times_de","ACTIVE","MEDIUM","NO"
"src/components/admin/teams/components/TeamCard.js","61","teams","teams.season","admin/teams-list","component_display","public_season_name or seasons.name","READY","LOW","YES"
"src/components/admin/teams/components/TeamCard.js","70","teams","teams.description_de","admin/teams-list","component_display","team_seasons.description_de","ACTIVE","MEDIUM","NO"
"src/components/admin/teams/AdminTeamsList.js","50","teams","teams.season","admin/teams-list","search_index","public_season_name or seasons.name","ACTIVE","MEDIUM","NO"
"src/components/admin/teams/AdminTeamsList.js","51","teams","teams.training_times_de","admin/teams-list","search_index","team_seasons.training_times_de","ACTIVE","MEDIUM","NO"
"src/components/admin/teams/forms/helpers/teamFormInitialState.js","32","teams","teams.season","admin/team-form","form_fallback","selected season only","FALLBACK_ONLY","MEDIUM","NO"
"src/components/admin/teams/forms/helpers/teamFormInitialState.js","50","teams","teams.description_*+training_times_*","admin/team-form","form_fallback","selected team_season fields only","FALLBACK_ONLY","MEDIUM","NO"
"src/app/(website)/fussball/[slug]/spieler/[playerId]/page.js","22","teams","teams.training_times_de","public/player-profile","joined_relation_select","team_seasons.training_times_de via seasonal player read model","BLOCKED","HIGH","NO"
