role_or_context,area,view,create,edit,deactivate,delete,permission_source,scope_source,current_state,target_state,status,notes
trainer,contacts,no,no,no,no,no,none,team scopes,denied,denied,READY,
betreuer,contacts,no,no,no,no,no,none,team scopes,denied,denied,READY,
gast,contacts,no,no,no,no,no,none,read_only,denied,denied,READY,
superadmin,pages,yes,yes,yes,yes,conditional,settings.edit,global,allowed,allowed,READY,
webmaster,pages,yes,yes,yes,yes,conditional,settings.edit,read_only,documented allowed,allowed,PARTIAL,
vorstand,pages,yes,no,no,no,no,settings.view,board role,current read possible,denied,PARTIAL,
jugendleiter,pages,no,no,no,no,no,none,youth_all,unknown,denied,PARTIAL,
jugendkoordinator,pages,no,no,no,no,no,none,youth_all,unknown,denied,PARTIAL,
kassierer,pages,yes,yes,yes,yes,conditional,settings.edit,read_only,documented allowed,denied,CONFLICT,
trainer,pages,no,no,no,no,no,none,team scopes,denied,denied,READY,
betreuer,pages,no,no,no,no,no,none,team scopes,denied,denied,READY,
gast,pages,no,no,no,no,no,none,read_only,denied,denied,READY,
superadmin,team_masterdata,yes,yes,yes,yes,no,settings plus teams permission,global,not implemented,allowed,PARTIAL,
webmaster,team_masterdata,yes,yes,yes,yes,no,settings.edit,read_only,not implemented,allowed,PARTIAL,
vorstand,team_masterdata,no,no,no,no,no,none,board role,not implemented,denied,READY,
jugendleiter,team_masterdata,no,no,no,no,no,teams permission,youth_all,can consume templates,denied settings management,PARTIAL,
jugendkoordinator,team_masterdata,no,no,no,no,no,teams permission,youth_all,compatibility only,denied settings management,PARTIAL,
kassierer,team_masterdata,no,no,no,no,no,none,read_only,not implemented,denied,READY,
trainer,team_masterdata,no,no,no,no,no,none,team scopes,not implemented,denied,READY,
betreuer,team_masterdata,no,no,no,no,no,none,team scopes,not implemented,denied,READY,
gast,team_masterdata,no,no,no,no,no,none,read_only,not implemented,denied,READY,
superadmin,news_categories,yes,yes,yes,yes,no,future settings masterdata permission,global,missing,allowed,BLOCKED,
webmaster,news_categories,yes,yes,yes,yes,no,future settings masterdata permission,read_only,missing,allowed,BLOCKED,
vorstand,news_categories,no,no,no,no,no,none,board role,missing,denied,READY,
jugendleiter,news_categories,no,no,no,no,no,news.edit,youth_all,can use static categories,denied management,PARTIAL,
jugendkoordinator,news_categories,no,no,no,no,no,news.edit,youth_all,compatibility unknown,denied management,PARTIAL,
kassierer,news_categories,no,no,no,no,no,none,read_only,missing,denied,READY,
trainer,news_categories,no,no,no,no,no,none,team scopes,missing,denied,READY,
betreuer,news_categories,no,no,no,no,no,none,team scopes,missing,denied,READY,
gast,news_categories,no,no,no,no,no,none,read_only,missing,denied,READY,
superadmin,event_categories,yes,yes,label only,non-system only,no,future settings masterdata permission,global,missing,allowed,BLOCKED,
webmaster,event_categories,yes,yes,label only,non-system only,no,future settings masterdata permission,read_only,missing,allowed,BLOCKED,
vorstand,event_categories,no,no,no,no,no,none,board role,missing,denied,READY,
jugendleiter,event_categories,no,no,no,no,no,events.edit,youth_all,can use static types,denied management,PARTIAL,
jugendkoordinator,event_categories,no,no,no,no,no,events.edit,youth_all,compatibility unknown,denied management,PARTIAL,
kassierer,event_categories,no,no,no,no,no,none,read_only,missing,denied,READY,
trainer,event_categories,no,no,no,no,no,events.edit,team scope,can use static types,denied management,PARTIAL,
betreuer,event_categories,no,no,no,no,no,none,team scope,missing,denied,READY,
gast,event_categories,no,no,no,no,no,none,read_only,missing,denied,READY,
superadmin,download_categories,yes,yes,yes,yes,no,deferred,global,missing,deferred,DEFERRED,
webmaster,download_categories,yes,yes,yes,yes,no,deferred,read_only,missing,deferred,DEFERRED,
vorstand,download_categories,no,no,no,no,no,none,board role,missing,denied,DEFERRED,
jugendleiter,download_categories,no,no,no,no,no,none,youth_all,missing,denied,DEFERRED,
jugendkoordinator,download_categories,no,no,no,no,no,none,youth_all,missing,denied,DEFERRED,
kassierer,download_categories,no,no,no,no,no,none,read_only,missing,denied,DEFERRED,
trainer,download_categories,no,no,no,no,no,none,team scope,missing,denied,DEFERRED,
betreuer,download_categories,no,no,no,no,no,none,team scope,missing,denied,DEFERRED,
gast,download_categories,no,no,no,no,no,none,read_only,missing,denied,DEFERRED,
